4808,8,0
4809,9,0
4810,10,0
4811,11,0
4812,12,0
4870,6,0
4871,7,0
4872,8,0
4873,9,1
4874,10,0
4875,11,0
4876,12,0
4934,6,0
4935,7,0
4936,8,0
4937,9,1
4938,10,1
4939,11,0
4940,12,0
4998,6,0
4999,7,0
5000,8,0
5001,9,1
5002,10,1
5003,11,1
5004,12,0
5062,6,0
5063,7,0
5064,8,0
5065,9,1
5066,10,1
5067,11,1
5068,12,1
5126,6,0
5127,7,0
5128,8,0
5129,9,1
5130,10,1
5131,11,1
5132,12,1
5190,6,0
5191,7,0
5192,8,0
5193,9,1
5194,10,1
5195,11,1
5196,12,1
5254,6,0
5255,7,0
5256,8,0
5257,9,1
5258,10,1
5259,11,1
5260,12,1
5318,6,0
5319,7,0
5320,8,0
5321,9,1
5322,10,1
5323,11,1
5324,12,1
5382,6,0
5383,7,0
5384,8,0
5385,9,2
5386,10,1
5387,11,1
5388,12,1
5446,6,0
5447,7,0
5448,8,0
5449,9,2
5450,10,1
5451,11,1
5452,12,1
5510,6,0
5511,7,0
5512,8,0
5513,9,2
5514,10,1
5515,11,1
5516,12,1
5574,6,0
5575,7,0
5576,8,0
5577,9,2
5578,10,1
5579,11,1
5580,12,1
5638,6,0
5639,7,0
5640,8,0
5641,9,2
5642,10,2
5643,11,1
5644,12,1
5702,6,0
5703,7,0
5704,8,0
5705,9,2
5706,10,2
5707,11,1
5708,12,1
5766,6,0
5767,7,0
5768,8,0
5769,9,2
5770,10,2
5771,11,1
5772,12,1
5830,6,0
5831,7,0
5832,8,0
5833,9,2
5834,10,2
5835,11,1
5836,12,1
5894,6,0
5895,7,0
5896,8,0
5897,9,2
5898,10,2
5899,11,2
5900,12,1
5958,6,0
5959,7,0
5960,8,0
5961,9,2
5962,10,2
5963,11,2
5964,12,1
6022,6,0
6023,7,0
6024,8,0
6025,9,2
6026,10,2
6027,11,2
6028,12,1
6086,6,0
6087,7,0
6088,8,0
6089,9,2
6090,10,2
6091,11,2
6092,12,1
6150,6,0
6151,7,0
6152,8,0
6153,9,2
6154,10,2
6155,11,2
6156,12,2
6214,6,0
6215,7,0
6216,8,0
6217,9,2
6218,10,2
6219,11,2
6220,12,2
6278,6,0
6279,7,0
6280,8,0
6281,9,2
6282,10,2
6283,11,2
6284,12,2
6342,6,0
6343,7,0
6344,8,0
6345,9,2
6346,10,2
6347,11,2
6348,12,2
6406,6,0
6407,7,0
6408,8,0
6409,9,2
6410,10,2
6411,11,2
6412,12,2
6470,6,0
6471,7,0
6472,8,0
6473,9,2
6474,10,2
6475,11,2
6476,12,2
6534,6,0
6535,7,0
6536,8,0
6538,10,2
6539,11,2
6540,12,2
6598,6,0
6599,7,0
6600,8,0
6602,10,2
6603,11,2
6604,12,2
6662,6,0
6663,7,0
6664,8,0
6666,10,2
6667,11,2
6668,12,2
6726,6,0
6727,7,0
6728,8,0
6730,10,2
6731,11,2
6732,12,2
6790,6,0
6791,7,0
6792,8,0
6794,10,2
6795,11,2
6796,12,2
6854,6,0
6855,7,0
6856,8,0
6858,10,2
6859,11,2
6860,12,2
6918,6,0
6919,7,0
6920,8,0
6922,10,2
6923,11,2
6924,12,2
6982,6,0
6983,7,0
6984,8,0
6986,10,2
6987,11,2
6988,12,2
7046,6,0
7047,7,0
7048,8,0
7050,10,3
7051,11,2
7052,12,2
7110,6,0
7111,7,0
7112,8,0
7114,10,3
7115,11,2
7116,12,2
7174,6,0
7175,7,0
7176,8,0
7178,10,3
7179,11,2
7180,12,2
7238,6,0
7239,7,0
7240,8,0
7242,10,3
7243,11,2
7244,12,2
7302,6,0
7303,7,0
7304,8,0
7306,10,3
7307,11,2
7308,12,2
7366,6,0
7367,7,0
7368,8,0
7370,10,3
7371,11,2
7372,12,2
7430,6,0
7431,7,0
7432,8,0
7434,10,3
7435,11,2
7436,12,2
7494,6,0
7495,7,0
7496,8,0
7498,10,3
7499,11,2
7500,12,2
7558,6,0
7559,7,0
7560,8,0
7562,10,3
7563,11,3
7564,12,2
7622,6,0
7623,7,0
7624,8,0
7626,10,3
7627,11,3
7628,12,2
7686,6,0
7687,7,0
7688,8,0
7690,10,3
7691,11,3
7692,12,2
7750,6,0
7751,7,0
7752,8,0
7754,10,3
7755,11,3
7756,12,2
7814,6,0
7815,7,0
7816,8,0
7818,10,3
7819,11,3
7820,12,2
7878,6,0
7879,7,0
7880,8,0
7882,10,3
7883,11,3
7884,12,2
7942,6,0
7943,7,0
7944,8,0
7946,10,3
7947,11,3
7948,12,2
8006,6,0
8007,7,0
8008,8,0
8010,10,3
8011,11,3
8012,12,2
8070,6,0
8071,7,0
8072,8,0
8074,10,3
8075,11,3
8076,12,3
8134,6,0
8135,7,0
8136,8,0
8138,10,3
8139,11,3
8140,12,3
8198,6,0
8199,7,0
8200,8,0
8202,10,3
8203,11,3
8204,12,3
8262,6,0
8263,7,0
8264,8,0
8266,10,3
8267,11,3
8268,12,3
8326,6,0
8327,7,0
8328,8,0
8330,10,3
8331,11,3
8332,12,3
8390,6,0
8391,7,0
8392,8,0
8394,10,3
8395,11,3
8396,12,3
8454,6,0
8455,7,0
8456,8,0
8458,10,3
8459,11,3
8460,12,3
8518,6,0
8519,7,0
8520,8,0
8522,10,3
8523,11,3
8524,12,3
8582,6,0
8583,7,0
8584,8,0
8586,10,3
8587,11,3
8588,12,3
8646,6,0
8647,7,0
8648,8,0
8650,10,3
8651,11,3
8652,12,3
8710,6,0
8711,7,0
8712,8,0
8714,10,3
8715,11,3
8716,12,3
8774,6,0
8775,7,0
8776,8,0
8779,11,3
8780,12,3
8838,6,0
8839,7,0
8840,8,0
8844,12,3
8902,6,0
8903,7,0
8904,8,0
8908,12,3
8966,6,0
8967,7,0
8968,8,0
9030,6,0
9031,7,0
9032,8,0
9094,6,0
9095,7,0
9096,8,0
9158,6,0
9159,7,0
9160,8,0
9222,6,0
9223,7,0
9224,8,0
9286,6,0
9287,7,0
9288,8,0
9350,6,0
9351,7,0
9352,8,0
